klasifikasi_kode_l6,kode_barang,nama_barang,nibar,nomor_register,spesifikasi_nama_barang,merk_tipe,jumlah,satuan,tahun_perolehan,keterangan
1.3.2.02.01.01,003,Station Wagon,120135711700000000000020051320201010030000001,120135711700000000000020051320201010030000001,Station Wagon,Merk: Mobil - Suzuki ST 150 MB ,1,unit,2005-12-31 00:00:00,04010060012000002
1.3.2.02.01.01,003,Station Wagon,120135711700000000000020071320201010030000001,120135711700000000000020071320201010030000001,Station Wagon,Merk: Station- toyota T.Avanza 1.3 F ,1,unit,2007-12-31 00:00:00,11010010012000052
1.3.2.02.01.01,003,Station Wagon,120135711700000000000020091320201010030000001,120135711700000000000020091320201010030000001,Station Wagon,Merk: Mobil Perpustakaan Keliling - PENERIMAAN HIBAH TAH TOYOTA HILUX PICK UP 2.0 M/T ,1,unit,2009-12-31 00:00:00,08020010012000001
1.3.2.02.01.01,003,Station Wagon,120135711700000000000020151320201010030000001,120135711700000000000020151320201010030000001,Station Wagon,Merk: SUZUKI AV1414F TYPE2 4X2 AT ,1,unit,2015-08-26 00:00:00,08020010012000003
1.3.2.02.01.04,001,Sepeda Motor,120135711700000000000020091320201040010000001,120135711700000000000020091320201040010000001,Sepeda Motor,Merk: SEPEDA MOTOR - SUZUKI FL 125 SD ,1,unit,2009-12-31 00:00:00,13030010012000075
1.3.2.02.01.04,001,Sepeda Motor,120135711700000000000020091320201040010000002,120135711700000000000020091320201040010000002,Sepeda Motor,Merk: SEPEDA MOTOR - SUZUKI FL 125 SD ,1,unit,2009-12-31 00:00:00,13030010012000076
1.3.2.02.01.04,001,Sepeda Motor,120135711700000000000020141320201040010000001,120135711700000000000020141320201040010000001,Sepeda Motor,Merk: Vega RR DB 5D 9 ,1,unit,2014-12-15 00:00:00,08020010012000004
1.3.2.02.01.04,001,Sepeda Motor,120135711700000000000020141320201040010000003,120135711700000000000020141320201040010000003,Sepeda Motor,Merk: Vega RR DB 5D 9 ,1,unit,2014-12-15 00:00:00,08020010012000006
1.3.2.02.01.04,001,Sepeda Motor,120135711700000000000020151320201040010000001,120135711700000000000020151320201040010000001,Sepeda Motor,Merk: Yamaha 2SV ,1,unit,2015-11-16 00:00:00,08020010012000007
1.3.2.02.01.04,003,Sepeda Motor Perpustakaan Keliling,120135711700000000000020251320201040030000001,120135711700000000000020251320201040030000001,Sepeda motor keliling,Merk: Honda Tipe: B5D02K29M2 MT,1,unit,2025-11-24 00:00:00,Hibah 2025
1.3.2.02.01.09,999,Alat Angkutan Darat Bermotor Lainnya Lain-lain,120135711700000000000020141320201099990000001,120135711700000000000020141320201099990000001,Alat Angkutan Darat Bermotor Lainnya Lain-lain,Merk: Viar Karya 150 R V 15 RL ,1,unit,2014-05-12 00:00:00,08020010012000011
1.3.2.02.01.09,999,Alat Angkutan Darat Bermotor Lainnya Lain-lain,120135711700000000000020141320201099990000002,120135711700000000000020141320201099990000002,Alat Angkutan Darat Bermotor Lainnya Lain-lain,Merk: Viar Karya 150 R V 15 RL ,1,unit,2014-05-12 00:00:00,08020010012000012
1.3.2.02.01.09,999,Alat Angkutan Darat Bermotor Lainnya Lain-lain,120135711700000000000020141320201099990000003,120135711700000000000020141320201099990000003,Alat Angkutan Darat Bermotor Lainnya Lain-lain,Merk: Viar Karya 150 R V 15 RL ,1,unit,2014-05-12 00:00:00,08020010012000013
1.3.2.02.02.01,014,Trolley,120135711700000000000020251320202010140000001,120135711700000000000020251320202010140000001,trolley perpustakaan,Merk: no merk Tipe: no type,1,Buah,2025-12-03 00:00:00,
1.3.2.03.01.01,005,Mesin Bor,120135711700000000000020091320301010050000001,120135711700000000000020091320301010050000001,Mesin Bor,Merk: MESIN POMPA AIR - SHUMIZU 230 ,1,unit,2009-12-31 00:00:00,08020010012000014
1.3.2.03.01.04,999,Perkakas Bengkel Services Lain-Lain,120135711700000000000020231320301049990000001,120135711700000000000020231320301049990000001,Perkakas Bengkel Services Lain-Lain,Merk: Bor Listrik Tangan Hitachi ,1,unit,2023-04-14 00:00:00,08020010012000866
1.3.2.03.02.05,002,Tool Kit Box,120135711700000000000020251320302050020000001,120135711700000000000020251320302050020000001,Box Motor,Merk: NO MERK Tipe: NO TYPE,1,Buah,2025-11-24 00:00:00,Hibah 2025
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020081320501040010000001,120135711700000000000020081320501040010000001,Lemari Besi/Metal,Merk: DATASCRIP FILING CABINET ,1,unit,2008-12-31 00:00:00,08020010012000017
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020081320501040010000002,120135711700000000000020081320501040010000002,Lemari Besi/Metal,Merk: DATASCRIP FILING CABINET ,1,unit,2008-12-31 00:00:00,08020010012000018
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020081320501040010000003,120135711700000000000020081320501040010000003,Lemari Besi/Metal,Merk: LEMARI RAK ARSIP - - RAK ARSIP ,1,unit,2008-12-31 00:00:00,08020010012000019
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020081320501040010000004,120135711700000000000020081320501040010000004,Lemari Besi/Metal,Merk: LEMARI RAK ARSIP - - RAK ARSIP ,1,unit,2008-12-31 00:00:00,08020010012000020
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020081320501040010000005,120135711700000000000020081320501040010000005,Lemari Besi/Metal,Merk: LEMARI RAK ARSIP - - RAK ARSIP ,1,unit,2008-12-31 00:00:00,08020010012000021
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020081320501040010000006,120135711700000000000020081320501040010000006,Lemari Besi/Metal,Merk: LEMARI RAK ARSIP - - RAK ARSIP ,1,unit,2008-12-31 00:00:00,08020010012000022
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020171320501040010000001,120135711700000000000020171320501040010000001,Lemari Besi/Metal,Merk: Datafile LEMARI ,1,unit,2017-05-30 00:00:00,08020010012000572
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020171320501040010000002,120135711700000000000020171320501040010000002,Lemari Besi/Metal,Merk: Datafile LEMARI ,1,unit,2017-05-30 00:00:00,08020010012000573
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020211320501040010000001,120135711700000000000020211320501040010000001,Lemari Besi/Metal,Merk: Emporium BESI ,1,unit,2021-12-17 00:00:00,08020010012000855
1.3.2.05.01.04,001,Lemari Besi/Metal,120135711700000000000020211320501040010000002,120135711700000000000020211320501040010000002,Lemari Besi/Metal,Merk: Emporium BESI ,1,unit,2021-12-17 00:00:00,08020010012000856
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000001,120135711700000000000020091320501040030000001,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000029
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000002,120135711700000000000020091320501040030000002,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000030
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000003,120135711700000000000020091320501040030000003,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000031
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000004,120135711700000000000020091320501040030000004,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000032
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000005,120135711700000000000020091320501040030000005,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000033
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000006,120135711700000000000020091320501040030000006,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000034
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000007,120135711700000000000020091320501040030000007,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000035
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000008,120135711700000000000020091320501040030000008,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000036
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000009,120135711700000000000020091320501040030000009,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000037
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000010,120135711700000000000020091320501040030000010,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000038
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000011,120135711700000000000020091320501040030000011,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000039
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000012,120135711700000000000020091320501040030000012,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000040
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000013,120135711700000000000020091320501040030000013,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000041
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000014,120135711700000000000020091320501040030000014,Rak Besi,Merk: RAK ARSIP BESI - BROTHER RAK ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000042
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000015,120135711700000000000020091320501040030000015,Rak Besi,Merk: ALMARI ARSIP - VIP ALMARI ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000043
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000016,120135711700000000000020091320501040030000016,Rak Besi,Merk: ALMARI ARSIP - VIP ALMARI ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000044
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000017,120135711700000000000020091320501040030000017,Rak Besi,Merk: ALMARI ARSIP - VIP ALMARI ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000045
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000018,120135711700000000000020091320501040030000018,Rak Besi,Merk: ALMARI ARSIP - VIP ALMARI ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000046
1.3.2.05.01.04,003,Rak Besi,120135711700000000000020091320501040030000019,120135711700000000000020091320501040030000019,Rak Besi,Merk: ALMARI ARSIP - VIP ALMARI ARSIP ,1,unit,2009-12-31 00:00:00,08020010012000047
